Run, SubRun, Event
27.2419 , 4.96329 , 26.6193
27.2139 , 4.95967 , 27.0831
27.186 , 4.95604 , 27.5474
27.1581 , 4.95243 , 28.0102
27.1297 , 4.94876 , 28.4807
27.1023 , 4.9452 , 28.9365
27.0738 , 4.94151 , 29.4095
27.051 , 4.93861 , 29.8676
27.0323 , 4.93627 , 30.33
27.0135 , 4.93391 , 30.7951
26.9947 , 4.93156 , 31.2585
26.9759 , 4.92921 , 31.7234
26.9571 , 4.92686 , 32.188
26.9383 , 4.92451 , 32.652
26.9196 , 4.92217 , 33.1129
26.901 , 4.91985 , 33.5728
26.8832 , 4.92547 , 34.0336
26.8657 , 4.93276 , 34.4927
26.8483 , 4.93999 , 34.9482
26.8309 , 4.94721 , 35.4027
26.8132 , 4.95457 , 35.8661
26.7959 , 4.96176 , 36.3188
26.7782 , 4.96909 , 36.7804
26.7607 , 4.97636 , 37.2381
26.7433 , 4.98361 , 37.6946
26.7232 , 5.00063 , 38.1474
26.7021 , 5.02202 , 38.594
26.6805 , 5.04387 , 39.0502
26.6595 , 5.06518 , 39.4952
26.638 , 5.08692 , 39.949
26.6169 , 5.10832 , 40.396
26.5957 , 5.12976 , 40.8436
26.574 , 5.15176 , 41.3029
26.5533 , 5.17276 , 41.7415
26.5313 , 5.19816 , 42.191
26.508 , 5.23176 , 42.6314
26.4847 , 5.26536 , 43.0716
26.4612 , 5.29924 , 43.5158
26.4378 , 5.333 , 43.9582
26.4142 , 5.36699 , 44.4037
26.3911 , 5.40043 , 44.842
26.3672 , 5.43486 , 45.2932
